item,item_id,2026-Q1,2025-Q4_1,2025-Q4,2025-Q3
TÀI SẢN ,assets,,,,
A. TÀI SẢN NGẮN HẠN,a.short_term_assets,35868914519.0,23620977743.0,29592820549.0,21777317138.0
I. Tài sản tài chính ngắn hạn,short_term_financial_assets,35789798602.0,23269197506.0,29223801292.0,21609697766.0
1. Tiền và các khoản tương đương tiền,n_1.cash_and_cash_equivalents,3213693581.0,2302263975.0,2637051863.0,472276928.0
1.1. Tiền,n_1.1.cash,3213693581.0,2302263975.0,2136051863.0,472276928.0
1.2. Các khoản tương đương tiền,n_1.2.cash_equivalents,,,501000000.0,
Các khoản đầu tư tài chính ngắn hạn,short_term_investments,,,,
+Đầu tư ngắn hạn,short_term_investments_2,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,short_term_investments_of_trust_investors,,,,
Dự phòng giảm giá đầu tư ngắn hạn,provision_for_diminution_in_value_of_short_term_investments,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),n_2.financial_assets_at_fair_value_through_profit_or_loss_fvtpl,2237948861.0,1195338251.0,599445101.0,777083525.0
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),n_3.held_to_maturity_investments_htm,412000000.0,898000000.0,300000000.0,933000000.0
4. Các khoản cho vay,n_4.loans,16167186027.0,10095130289.0,13944747782.0,11306616015.0
5. Các tài sản tài chính sẵn sàn để bán (AFS),n_5.available_for_sale_financial_assets_afs,13307708106.0,7523915401.0,11456500329.0,7782930658.0
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,n_6.provisions_for_impairment_loss_of_financial_assets_and_mortgages,-2169826.0,-2169826.0,-2169826.0,-2169826.0
7. Các khoản phải thu ngắn hạn,n_7.short_term_receivables,226985043.0,293089314.0,235396596.0,295429763.0
7.1. Phải thu bán các tài sản tài chính,n_7.1.receivables_from_disposal_of_financial_assets,69487189.0,209058292.0,99991519.0,167903102.0
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",n_7.2.receivables_and_accruals_from_dividends_and_interest_income,157497853.0,84031022.0,135405077.0,127526661.0
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",n_7.2.1.due_dividend_and_interest_receivables,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",in_which_doubtful_receivables_of_dividends_interest_to_date_of_receipt_but_not_yet_received,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",n_7.2.2.undue_dividend_and_interest_receivables,157497853.0,84031022.0,135405077.0,127526661.0
Trả trước cho người bán,prepayments_to_suppliers,217840149.0,944586861.0,28414966.0,24611898.0
