item,item_id,2025-Năm,2024-Năm,2023-Năm,2022-Năm
I. DOANH THU HOẠT ĐỘNG,operating_income,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),n_1.1.gains_from_financial_assets_at_fair_value_through_profit_or_loss_fvtpl,2356278274.0,1778614821.0,943098379.0,1201683322.0
a. Lãi bán các tài sản tài chính,a.realised_gains_on_disposals_of_fvtpl_financial_assets,2349486722.0,1759391703.0,856242543.0,1431873905.0
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,b.gains_from_revaluation_of_fvtpl_financial_assets,-835247.0,3852617.0,303728.0,-272875075.0
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",c.dividends_and_interest_income_from_fvtpl_financial_assets,7401732.0,18755183.0,95800495.0,66985746.0
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,d.gain_from_revaluation_of_outstanding_covered_warrant_payables,225067.0,-3384683.0,-9248387.0,-24301254.0
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),n_1.2.gains_from_held_to_maturity_investments,44195674.0,23141018.0,78126606.0,64247121.0
1.3. Lãi từ các khoản cho vay và phải thu,n_1.3.interest_income_from_loans_and_receivables,1204798490.0,872949658.0,688950404.0,708154430.0
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),n_1.4.gains_from_available_for_sale_financial_assets_afs,277121232.0,225002929.0,174362032.0,107410888.0
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,n_1.5.gains_from_hedging_derivative_tools,,,,
1.6. Doanh thu môi giới chứng khoán,n_1.6.revenue_from_brokerage_services,1000205685.0,729603724.0,535380417.0,1011221766.0
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",revenue_from_securities_investment_and_capital_contribution,,,,
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",n_1.7.revenue_from_share_issue_guarantee_and_agency_activities,,,,
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,revenue_from_investment_portfolio_management_services,,,,
1.8. Doanh thu hoạt động tư vấn,n_1.8.revenue_from_investment_advisory_services,82374161.0,50589074.0,39340498.0,52144971.0
1.9. Doanh thu hoạt động ủy thác đấu giá,n_1.9.revenue_from_entrusted_auction_services,,,,
1.10. Doanh thu lưu ký chứng khoán,n_1.10.revenue_from_securities_custody_services,13861592.0,14317090.0,12037769.0,10997351.0
- Doanh thu cho thuê sử dụng tài sản,revenue_from_property_lease,,,,
1.11. Thu nhập hoạt động khác,n_1.11.other_revenue,1366418.0,1307021.0,1164440.0,382886.0
Các khoản giảm trừ doanh thu,deductions,,,,
Cộng doanh thu hoạt động (01->11),revenue_from_securities_business_01_11,4980201525.0,3695525335.0,2472460543.0,3156242736.0
Doanh thu thuần,net_sales,4980201525.0,3695525335.0,2472460543.0,3156242736.0
II. CHI PHÍ HOẠT ĐỘNG,operating_expenses,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),n_2.1.loss_from_financial_assets_at_fair_value_through_profit_or_loss_fvtpl,1536278727.0,991675485.0,496357513.0,900399313.0
a. Lỗ bán các tài sản tài chính,a.loss_from_disposals_of_financial_assets_at_fvtpl,1527071365.0,987732073.0,494191661.0,936490471.0
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,b.loss_from_revaluation_of_financial_assets_at_fvtpl,-4715934.0,2915102.0,1627121.0,-25213517.0
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),c.transaction_cost_of_acquisition_of_financial_assets_at_fvtpl,952815.0,1028310.0,538731.0,1037861.0
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,d.loss_from_revaluation_of_outstanding_covered_warrant_payables,12970481.0,,,-11915502.0
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),n_2.2.loss_from_held_to_maturity_investments,,,,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",n_2.3.interest_expenses_losses_from_loans_and_receivables,,,,
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),n_2.4.selling_loss_available_for_sale_financial_assets_afs,,,,
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",reversal_provision_expenses_for_diminution_in_value_and_impairment_of_financial_assets_and_doubtful_debts_and_borrowing_costs_of_loans,,,,
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,n_2.5.loss_from_hedging_derivative_tools,,,,
2.6. Chi phí hoạt động tự doanh,n_2.6.expenses_for_proprietary_trading_activities,43357801.0,49882803.0,40216162.0,19503079.0
2.7. Chi phí môi giới chứng khoán,n_2.7.expenses_for_brokerage_services,726709176.0,595764285.0,437073497.0,429270572.0
"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng  khoán",n_2.8.expenses_for_underwriting_and_issurance_agency_services,,,,
2.9. Chi phí tư vấn,n_2.9.expenses_for_financial_advisory_services,66876026.0,62869871.0,72595946.0,29189434.0
"2.10. Chi phí hoạt động đấu giá, ủy thác",n_2.10.expenses_of_auction_and_trust_activities,,,,
2.11. Chi phí lưu ký chứng khoán,n_2.11.expenses_for_secutiries_custodian_services,17758784.0,17209579.0,17353983.0,20168783.0
2.12. Chi phí khác,n_2.12.other_expenses,,,,
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",in_which_expenses_fixing_trading_error_other_error,,,,
- Chi phí trực tiếp hoạt động kinh doanh chứng khoán,direct_operating_expenses,,,,
- Chi phí dự phòng chứng khoán,securities_provision_expenses_income_from_reversal_of_provision,,,,
Cộng chi phí hoạt động (21->33),operating_expenses_21_33,2390980515.0,1717402023.0,1063597102.0,1398531179.0
Lợi nhuận gộp của hoạt động kinh doanh,gross_profit,2589221010.0,1978123313.0,1408863442.0,1757711557.0
III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,financial_income,,,,
3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,n_3.1.realized_and_unrealized_gain_from_changes_in_foreign_exchange_rates,7140995.0,21132100.0,17099000.0,28280000.0
"3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",n_3.2.dividends_interest_income_from_demand_deposits,15882767.0,14501410.0,6597152.0,7268433.0
"3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",n_3.3.gains_from_disposal_investments_in_subsidiaries_associates_joint_ventures,,,,
3.4. Doanh thu khác về đầu tư,n_3.4.other_income_about_investment,146108.0,14999696.0,,
