item,item_id,2025-Năm,2024-Năm,2023-Năm,2022-Năm
I. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH CHỨNG KHOÁN,i.cash_flow_from_securities_trading_activities,,,,
1. Lợi nhuận trước thuế,n_1.profit_before_tax,1629219548.0,1089337105.0,570138640.0,1059738713.0
2. Điều chỉnh cho các khoản,n_2.adjustments_for,665007231.0,693305875.0,480305548.0,427676933.0
- Khấu hao tài sản cố định,depreciation_and_amortization,14427077.0,10751195.0,9679599.0,9647191.0
- Các khoản lập dự phòng,reversal_of_provisions_provisions,6775200.0,4516800.0,11292000.0,
"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",unrealized_foreign_exchange_gains_losses,,,,
"- Chi phí phải trả, chi phí trả trước",acrrued_expenses_prepayments_expenses,,,,
"- Lãi, lỗ từ hoạt động đầu tư (đầu tư công ty con, liên doanh, liên kết)",loss_profits_from_other_investing_activities,-596212.0,,,154603.0
- Chi phí lãi vay,interest_expense,801899019.0,764124675.0,562553033.0,477360036.0
"- Lãi, lỗ do thanh lý TSCĐ",loss_profits_from_disposal_of_fixed_asset,,,,
- Thu nhập lãi vay và cổ tức,interest_income_and_dividends,,,,
- Phân bổ lợi thế thương mại,allocation_of_goodwill,,,,
- Dự thu tiền lãi,accrued_interest_income,-157497853.0,-86086795.0,-103219085.0,-59484897.0
- Điều chỉnh cho các khoản khác,adjustments_for,,,,
3. Tăng các chi phí phi tiền tệ,n_3.add_non_cash_expenses,8254547.0,2915102.0,1627121.0,-25213517.0
- Lỗ đánh giá giá trị các tài sản tài chính ghi nhận thông qua kết quả kinh doanh,loss_from_revaluation_losses_of_fvtpl_financial_assets,8254547.0,2915102.0,1627121.0,-25213517.0
- Lỗ đánh giá giá trị các công nợ tài chính ghi nhận thông qua kết quả kinh doanh,loss_from_revaluation_of_fvtpl_financial_debt,,,,
- Lỗ suy giảm giá trị Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),loss_in_value_held_to_maturity_investments_htm,,,,
- Lỗ suy giảm giá trị Các khoản cho vay,loss_for_impairment_of_loans,,,,
- Lỗ đánh giá giá trị các công cụ tài chính phái sinh,losse_from_revaluetion,,,,
- Lỗ từ thanh lý các tài sản tài chính sẵn sàng để bán,loss_from_provision_available_for_sale_financial_assets,,,,
- Lỗ về ghi nhận chênh lệch đánh giá theo giá trị hợp lý TSTC sẵn sàng để bán AFS khi phân loại lại,value_decline_of_available_for_sale_financial_assets,,,,
- Lỗ đánh giá giá trị các công cụ tài chính phái sinh cho mục đích phòng ngừa rủi ro,loss_from_revaluation_of_financial_derivative_tools_for_hedging_purposes,,,,
- Lỗ từ thanh lý tài sản cố định,losses_from_disposals_of_fixed_assets,,,,
- Suy giảm giá trị của các tài sản cố định,value_decline_of_fixed_assets,,,,
"- Lỗ từ thanh lý các khoản đầu tư vào công ty con và công ty liên doanh, liên kết",loss_from_disposal_investments_in_subsidiaries_associates_joint_ventures,,,,
- Chi phí dự phòng suy giảm giá trị các khoản đầu tư tài chính dài hạn,expenses_for_provision_for_impairment_of_long_term_financial_investments,,,,
- Lỗ khác,other_loss,,,,
4. Giảm các doanh thu phi tiền tệ,n_4.less_non_cash_income,610180.0,-467935.0,-303728.0,272875075.0
- Lãi đánh giá giá trị các tài sản tài chính ghi nhận thông qua kết quả kinh doanh,gains_from_revaluation_gains_of_fvtpl_financial_assets,610180.0,-467935.0,-303728.0,272875075.0
- Lãi đánh giá giá trị các công nợ tài chính thông qua kết quả kinh doanh,gains_from_revaluation_gains_of_fvtpl_financial_debt,,,,
- Lãi từ thanh lý các tài sản tài chính sẵn sàng để bán,gains_from_disposals_of_avalable_for_sale_financial_assets,,,,
- Lãi về ghi nhận chênh lệch đánh giá theo giá trị hợp lý TSTC sẵn sàng để bán AFS khi phân loại lại,reversal_of_value_decline_of_available_for_sale_financial_assets,,,,
- Lãi đánh giá giá trị các công cụ tài chính phái sinh cho mục đích phòng ngừa,gains_from_revaluation_of_financial_derivative_tools_for_hedging_purposes,,,,
- Lãi từ thanh lý các khoản cho vay và phải thu,gains_from_disaposals_loans_and_receivables,,,,
- Hoàn nhập chi phí dự phòng,reversal_of_allowances,,,,
"- Lãi từ thanh lý tài sản cố định, BĐSĐT",gains_from_disposal_from_fixed_assets_investment_property,,,,
"- Lãi từ thanh lý các khoản đầu tư vào công ty con và công ty liên doanh, liên kết",gains_from_disposal_investments_in_subsidiaries_associates_joint_ventures,,,,
- Lãi khác,other_income,,,,
5. Thay đổi tài sản và nợ phải trả hoạt động,n_5.changes_of_assets_and_liabilities,-10644136388.0,-5018541968.0,-3814216940.0,3552663195.0
- Tăng (giảm) tài sản tài chính ghi nhận thông qua lãi lỗ,increase_decrease_in_fvtpl_financial_assets,-1387815857.0,-723177170.0,541796871.0,308597015.0
- Tăng (giảm) các khoản đầu tư giữ đến ngày đáo hạn,increase_decrease_in_held_to_maturity_investments,186000000.0,-217100000.0,504988640.0,-132169640.0
"- Tăng, giảm các khoản cho vay khách hàng",increase_decrease_in_loan,-4945500385.0,-3229217292.0,-2713189113.0,2421957895.0
- Tăng (giảm) tài sản tài chính sẵn sàng để bán,increase_decrease_in_afs_financial_assets,-4496820146.0,-849047506.0,-2147813337.0,954277925.0
- Tăng (giảm) các khoản phải thu,increase_decrease_in_receivables,,,,
- Tăng (giảm) vay và nợ thuê tài sản tài chính,increase_decrease_in_borrowings_and_finance_lease_liabilities,,,,
- Tăng (giảm) vay tài sản tài chính,increase_decrease_in_finance_assets_borrowings,,,,
- Tăng (giảm) Trái phiếu chuyển đổi - Cấu phần nợ,increase_decrease_in_convertible_bond_debt_structure,,,,
- Tăng (giảm) Trái phiếu phát hành,increase_decrease_in_issued_bonds,,,,
- Tăng (giảm) vay Quỹ Hỗ trợ thanh toán,increase_decrease_borrowings_to_settlement_assistance_fund,,,,
6. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,n_6.operating_profit_before_changes_in_working_capital,-8341044882.0,-3233451821.0,-2762449358.0,5287740399.0
"(-) Tăng, (+) giảm phải thu bán các tài sản tài chính",increase_decrease_in_receiables_sale_of_financial_assets,237810112.0,438051154.0,-713459013.0,156405365.0
