item,item_id,2025-Năm,2024-Năm,2023-Năm,2022-Năm
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,1862.23,1822.21,1126.71,2340.03
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,21185.62,18025.78,16848.52,14914.97
Chỉ số giá thị trường trên thu nhập (P/E),p_e,18.96,18.22,37.94,9.94
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.67,1.84,2.54,1.56
Chỉ số giá thị trường trên doanh thu thuần (P/S),p_s,6.03,6.45,7.56,3.21
Tỷ suất cổ tức,dividend_yield,0.01,0.01,0.01,0.03
Beta,beta,1.17,1.63,2.04,2.02
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,0.0,0.0,0.0,0.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,17.53,16.99,23.54,8.42
Tỷ suất lợi nhuận gộp biên,gross_profit_margin,51.99,53.53,56.98,55.69
Tỷ suất sinh lợi trên doanh thu thuần,net_profit_margin,26.95,24.64,19.9,27.53
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,8.67,8.97,7.09,13.33
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,4.29,4.15,3.12,5.63
ROE bình quân 4 quý gần nhất,roe_trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,roa_trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,net_revenue,34.76,49.47,-21.66,-14.86
Tăng trưởng  lợi nhuận gộp,gross_profit,30.89,40.41,-19.85,-26.18
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,49.56,91.07,-46.2,-42.73
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,47.36,85.14,-43.39,-42.02
Tăng trưởng tổng tài sản,total_assets,35.4,54.11,21.15,-14.39
Tăng trưởng nợ dài hạn,long_term_liabilities,10.09,45.73,60.93,-45.75
Tăng trưởng nợ phải trả,liabilities,31.86,38.08,27.58,-23.25
Tăng trưởng vốn chủ sở hữu,owners_equity,39.13,75.61,13.48,-0.71
Tăng trưởng vốn điều lệ,charter_capital,18.38,64.14,0.46,30.78
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.19,0.36,0.08,0.46
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)",quick_ratio_except_inventories_short_term_receivables_reference,0.19,0.36,0.08,0.46
Tỷ số thanh toán hiện hành (ngắn hạn),short_term_ratio,2.07,2.03,1.81,1.89
Vòng quay phải thu khách hàng,receivables_turnover,0.0,0.0,0.0,0.0
Thời gian thu tiền khách hàng bình quân,days_of_sales_outstanding,0.0,0.0,0.0,0.0
Vòng quay tài sản cố định (Hiệu suất sử dụng tài sản cố định),fixed_asset_turnover,88.51,121.78,105.39,268.66
Vòng quay tổng tài sản (Hiệu suất sử dụng toàn bộ tài sản),total_asset_turnover,0.16,0.17,0.16,0.44
Vòng quay vốn chủ sở hữu,equity_turnover,0.32,0.36,0.36,0.97
Tỷ số Nợ ngắn hạn trên Tổng nợ phải trả,short_term_liabilities_to_total_liabilities,96.27,95.54,95.77,96.65
Tỷ số Nợ vay trên Tổng tài sản,debt_to_assets,44.62,47.28,52.04,44.42
Tỷ số Nợ trên Tổng tài sản,liabilities_to_assets,49.98,51.32,57.28,54.39
Tỷ số Vốn chủ sở hữu trên Tổng tài sản,equity_to_assets,50.02,48.68,42.72,45.61
Tỷ số Nợ ngắn hạn trên Vốn chủ sở hữu,short_term_liabilities_to_equity,96.2,100.73,128.42,115.27
Tỷ số Nợ vay trên Vốn chủ sở hữu,debt_to_equity,89.2,97.14,121.82,97.39
Tỷ số Nợ trên Vốn chủ sở hữu,liabilities_to_equity,99.92,105.43,134.09,119.27
Tỷ số dòng tiền HĐKD trên doanh thu thuần,accrual_ratio_cf,-176.51,-91.57,-176.16,118.56
Khả năng chi trả nợ ngắn hạn từ dòng tiền HĐKD,cash_to_income,-50.74,-25.95,-46.01,49.98
Khả năng chi trả nợ ngắn hạn từ lưu chuyển tiền thuần trong kỳ,net_cash_flows_short_term_liabilities,-8.83,30.34,-27.84,30.61
Tỷ lệ dồn tích (Phương pháp Cân đối kế toán),accrual_ratio_balance_sheet_method,39.07,28.69,49.39,-22.43
Tỷ lệ dồn tích (Phương pháp Dòng tiền),accrual_ratio_cash_flow_method,39.47,23.81,38.9,-26.94
Dòng tiền từ HĐKD trên Tổng tài sản,cash_return_to_assets,-24.41,-12.73,-25.24,26.27
Dòng tiền từ HĐKD trên Vốn chủ sở hữu,cash_return_on_equity,-48.81,-26.14,-59.09,57.61
Dòng tiền từ HĐKD trên Lợi nhuận thuần từ HĐKD,cash_to_income_2,0.0,0.0,0.0,0.0
Khả năng thanh toán nợ từ dòng tiền HĐKD,debt_coverage,-48.85,-24.8,-44.07,48.3
Dòng tiền từ HĐKD trên mỗi cổ phần (CPS),cash_flow_per_share_cps,-10340.83,-4712.51,-9955.55,8592.17
